14168.20	13354.17	7.99%	2.67%	5.55%	5	13639.40	6.48%	0.93%	3.24%	5	
16649.80	16085.01	5.57%	2.29%	3.41%	5	16266.85	4.44%	1.52%	2.32%	5	
15699.40	15085.75	7.49%	2.25%	4.14%	5	15294.87	4.93%	1.40%	2.75%	5	
15419.80	15013.18	4.07%	1.18%	2.40%	5	15213.53	2.59%	0.47%	1.12%	5	
25107.80	24755.18	2.72%	0.27%	1.44%	5	24915.55	1.63%	0.08%	0.78%	5	
41884.20	40562.43	3.53%	2.33%	3.10%	5	41222.71	1.96%	1.09%	1.56%	5	
52120.00	50517.28	4.01%	2.52%	3.18%	5	51117.19	2.69%	1.40%	2.00%	5	
51957.40	50499.57	4.82%	1.23%	2.85%	5	51021.67	3.41%	0.82%	1.83%	5	
59190.80	58202.60	2.81%	0.58%	1.70%	5	58604.01	1.75%	0.33%	1.01%	5	
81536.20	80782.71	1.82%	0.22%	1.00%	5	81090.86	1.14%	0.15%	0.59%	5	
89617.25 (85369.20)	87880.86	2.34%	1.33%	1.97%	4	88590.51 (84365.41)	1.44% (1.44%)	0.64% (0.64%)	1.17% (1.20%)	5	
101881.50 (106837.80)	99550.42	3.04%	1.66%	2.28%	4	100396.03 (105211.47)	1.93% (1.93%)	1.01% (1.01%)	1.45% (1.51%)	5	
120770.00	118610.78	2.25%	1.51%	1.78%	5	119479.24	1.54%	0.85%	1.07%	5	
131761.80	129989.76	1.94%	0.69%	1.40%	5	130624.67	1.24%	0.42%	0.90%	5	
184054.20	182368.29	1.47%	0.56%	0.92%	5	183119.64	0.94%	0.24%	0.51%	5	
! (169771.00)	!	!	!	!	0	! (167972.39)	! (1.06%)	! (1.06%)	! (1.06%)	1	
214090.00 (205845.33)	211981.49	0.98%	0.98%	0.98%	1	212891.69 (204132.48)	0.56% (1.18%)	0.56% (0.56%)	0.56% (0.86%)	3	
! (206540.33)	!	!	!	!	0	! (204402.92)	! (1.21%)	! (0.89%)	! (1.03%)	3	
! (236199.75)	!	!	!	!	0	! (234877.89)	! (0.90%)	! (0.35%)	! (0.54%)	4	
323040.20	321131.48	0.86%	0.13%	0.60%	5	321946.12	0.52%	0.05%	0.35%	5	
