2991.80	2842.59	6.87%	3.53%	4.95%	5	2906.05	5.04%	2.00%	2.88%	5	
3253.20	3136.10	4.65%	2.06%	3.60%	5	3180.78	3.10%	1.57%	2.19%	5	
3243.20	3143.48	7.92%	1.04%	3.33%	5	3181.09	5.03%	0.56%	2.08%	5	
3190.60	3109.10	5.93%	0.64%	2.49%	5	3132.44	4.92%	0.37%	1.79%	5	
4763.40	4699.51	2.89%	0.23%	1.42%	5	4726.37	1.54%	0.10%	0.81%	5	
9582.80	9324.99	3.58%	1.61%	2.74%	5	9432.33	2.15%	0.91%	1.60%	5	
10106.60	9838.15	3.31%	2.11%	2.66%	5	9930.61	2.50%	1.16%	1.74%	5	
11012.80	10657.67	5.01%	2.09%	3.27%	5	10786.03	3.20%	1.26%	2.09%	5	
13011.00	12819.43	2.14%	0.84%	1.46%	5	12904.45	1.06%	0.47%	0.81%	5	
16419.00	16220.84	2.36%	0.37%	1.29%	5	16302.42	1.58%	0.27%	0.76%	5	
20775.50 (20160.00)	20469.12	1.50%	1.45%	1.48%	2	20572.79 (19911.72)	1.07% (1.81%)	0.87% (0.87%)	0.97% (1.25%)	5	
20283.00 (21917.80)	19923.29	1.86%	1.68%	1.77%	2	20041.66 (21632.24)	1.19% (1.63%)	1.19% (0.96%)	1.19% (1.29%)	5	
24487.67 (23983.60)	24050.25	2.50%	1.11%	1.82%	3	24205.97 (23695.62)	1.70% (1.70%)	0.64% (0.64%)	1.17% (1.22%)	5	
25957.25	25644.95	1.55%	0.83%	1.22%	4	25748.56	1.01%	0.58%	0.81%	4	
35617.75 (35735.00)	35326.78	1.26%	0.52%	0.86%	4	35438.88 (35561.87)	0.74% (0.74%)	0.28% (0.28%)	0.53% (0.51%)	5	
!	!	!	!	!	0	!	!	!	!	0	
!	!	!	!	!	0	!	!	!	!	0	
39707.00	39229.47	1.20%	1.20%	1.20%	1	39441.34	0.67%	0.67%	0.67%	1	
53374.00 (50979.00)	53014.11	0.67%	0.67%	0.67%	1	53208.53 (50781.44)	0.31% (0.47%)	0.31% (0.31%)	0.31% (0.39%)	2	
63617.75 (62894.60)	63208.95	0.98%	0.26%	0.65%	4	63363.29 (62631.75)	0.65% (0.65%)	0.14% (0.14%)	0.40% (0.42%)	5	
