0.01	0.00	0.00	5	0.02	0.00	0.00	5	
0.01	0.00	0.00	5	0.02	0.00	0.01	5	
0.01	0.00	0.00	5	0.00	0.00	0.00	5	
0.00	0.00	0.00	5	0.02	0.00	0.00	5	
0.01	0.00	0.00	5	0.00	0.00	0.00	5	
0.78	0.15	0.41	5	0.13	0.03	0.08	5	
1.04	0.05	0.42	5	0.14	0.03	0.09	5	
2.93	0.04	0.64	5	1.08	0.03	0.24	5	
1.06	0.04	0.36	5	0.17	0.00	0.08	5	
0.52	0.01	0.15	5	0.19	0.02	0.06	5	
827.03	0.89	218.46	4	16.88 (35.80)	0.19 (0.19)	4.69 (10.91)	5	
1054.29	49.35	466.44	4	23.86 (294.37)	2.86 (2.86)	11.41 (68.00)	5	
447.21	0.92	193.41	5	18.17	0.31	4.41	5	
49.92	1.98	28.80	5	4.16	0.67	3.00	5	
20.22	0.78	6.48	5	0.84	0.28	0.46	5	
!	!	!	0	! (213.00)	! (213.00)	! (213.00)	1	
545.76	545.76	545.76	1	19.67 (141.69)	19.67 (19.67)	19.67 (65.50)	3	
!	!	!	0	! (633.23)	! (15.28)	! (272.45)	3	
!	!	!	0	! (497.83)	! (12.61)	! (252.34)	4	
1225.55	1.00	328.55	5	16.83	0.13	8.89	5	
