0.03	0.00	0.01	5	0.02	0.00	0.01	5	
0.02	0.00	0.00	5	0.02	0.00	0.01	5	
0.02	0.00	0.01	5	0.00	0.00	0.00	5	
0.02	0.00	0.00	5	0.02	0.00	0.00	5	
0.02	0.00	0.00	5	0.02	0.00	0.00	5	
7.27	0.20	2.08	5	0.58	0.08	0.28	5	
0.47	0.13	0.27	5	0.16	0.08	0.11	5	
21.86	0.08	4.98	5	1.28	0.05	0.51	5	
0.53	0.05	0.20	5	0.11	0.03	0.06	5	
0.23	0.02	0.08	5	0.08	0.02	0.03	5	
171.68	12.86	92.27	2	11.38 (953.75)	1.80 (1.80)	6.59 (305.22)	5	
32.55	27.20	29.88	2	5.67 (203.54)	3.61 (3.61)	4.64 (83.79)	5	
495.88	12.95	282.44	3	28.14 (271.04)	2.08 (2.08)	12.32 (74.71)	5	
231.34	3.53	62.01	4	11.30	1.50	4.16	4	
19.45	0.55	8.20	4	1.69 (46.95)	0.09 (0.09)	0.97 (10.17)	5	
!	!	!	0	!	!	!	0	
!	!	!	0	!	!	!	0	
77.89	77.89	77.89	1	7.67	7.67	7.67	1	
31.91	31.91	31.91	1	2.59 (25.11)	2.59 (2.59)	2.59 (13.85)	2	
731.08	0.63	284.43	4	34.22 (90.72)	0.27 (0.27)	16.27 (31.16)	5	
